level0,level1,level2
"Outdoors & Recreation","Dog Run",empty
"Outdoors & Recreation",empty,empty
"Outdoors & Recreation",Farm,empty
"Outdoors & Recreation",Field,empty
"Outdoors & Recreation",Garden,empty
"Outdoors & Recreation","Harbor / Marina",empty
"Outdoors & Recreation","Hiking Trail",empty
"Outdoors & Recreation","Hot Spring",empty
"Outdoors & Recreation",Island,empty
"Outdoors & Recreation",Lake,empty
"Outdoors & Recreation",Lighthouse,empty
"Outdoors & Recreation",Mountain,empty
"Outdoors & Recreation",Neighborhood,empty
"Outdoors & Recreation","Other Great Outdoors",empty
"Outdoors & Recreation",Park,empty
"Outdoors & Recreation",Playground,empty
"Outdoors & Recreation",Plaza,empty
"Outdoors & Recreation",Pool,empty
"Outdoors & Recreation",River,empty
"Outdoors & Recreation","Rock Climbing Spot",empty
"Outdoors & Recreation","Scenic Lookout",empty
"Outdoors & Recreation","Sculpture Garden",empty
"Outdoors & Recreation","Ski Area","Apres Ski Bar"
"Outdoors & Recreation","Ski Area",empty
"Outdoors & Recreation","Ski Area","Ski Chalet"
"Outdoors & Recreation","Ski Area","Ski Lodge"
"Outdoors & Recreation",Stables,empty
"Outdoors & Recreation",Vineyard,empty
"Outdoors & Recreation",Volcano,empty
"Outdoors & Recreation",Well,empty
"Professional & Other Places","Animal Shelter",empty
"Professional & Other Places",Auditorium,empty
"Professional & Other Places",Building,empty
"Professional & Other Places","Convention Center",empty
"Professional & Other Places","Convention Center","Meeting Room"
"Professional & Other Places",empty,empty
"Professional & Other Places","Event Space",empty
"Professional & Other Places",Factory,empty
"Professional & Other Places",Fair,empty
"Professional & Other Places","Funeral Home",empty
"Professional & Other Places","Government Building","Capitol Building"
"Professional & Other Places","Government Building","City Hall"
"Professional & Other Places","Government Building",Courthouse
"Professional & Other Places","Government Building",empty
"Professional & Other Places","Government Building","Fire Station"
"Professional & Other Places","Government Building","Monument / Landmark"
"Professional & Other Places","Government Building","Police Station"
"Professional & Other Places",Library,empty
"Professional & Other Places","Medical Center","Dentist's Office"
"Professional & Other Places","Medical Center","Doctor's Office"
"Professional & Other Places","Medical Center","Emergency Room"
"Professional & Other Places","Medical Center",empty
"Professional & Other Places","Medical Center",Hospital
"Professional & Other Places","Medical Center",Laboratory
"Professional & Other Places","Medical Center","Optical Shop"
"Professional & Other Places","Medical Center",Veterinarian
"Professional & Other Places","Military Base",empty
"Professional & Other Places",Non-Profit,empty
"Professional & Other Places",Office,Cafeteria
"Professional & Other Places",Office,"Campaign Office"
"Professional & Other Places",Office,"Conference Room"
"Professional & Other Places",Office,"Coworking Space"
"Professional & Other Places",Office,empty
"Professional & Other Places",Office,"Tech Startup"
"Professional & Other Places",Parking,empty
"Professional & Other Places","Post Office",empty
"Professional & Other Places","Radio Station",empty
"Professional & Other Places",School,"Elementary School"
"Professional & Other Places",School,empty
"Professional & Other Places",School,"High School"
"Professional & Other Places",School,"Middle School"
"Professional & Other Places",School,"Music School"
"Professional & Other Places",School,"Nursery School"
"Professional & Other Places","Spiritual Center",Church
"Professional & Other Places","Spiritual Center",empty
"Professional & Other Places","Spiritual Center",Mosque
"Professional & Other Places","Spiritual Center",Shrine
"Professional & Other Places","Spiritual Center",Synagogue
"Professional & Other Places","Spiritual Center",Temple
"Professional & Other Places","Voting Booth",empty
Residence,"Assisted Living",empty
Residence,empty,empty
Residence,"Home (private)",empty
Residence,"Housing Development",empty
Residence,"Residential Building (Apartment / Condo)",empty
"Shop & Service","Antique Shop",empty
"Shop & Service","Arts & Crafts Store",empty
"Shop & Service","Automotive Shop",empty
"Shop & Service",Bank,empty
"Shop & Service","Bike Shop",empty
"Shop & Service","Board Shop",empty
"Shop & Service",Bookstore,empty
"Shop & Service","Bridal Shop",empty
"Shop & Service","Camera Store",empty
"Shop & Service","Candy Store",empty
"Shop & Service","Car Dealership",empty
"Shop & Service","Car Wash",empty
"Shop & Service","Clothing Store","Accessories Store"
"Shop & Service","Clothing Store",Boutique
"Shop & Service","Clothing Store",empty
"Shop & Service","Clothing Store","Kids Store"
"Shop & Service","Clothing Store","Lingerie Store"
"Shop & Service","Clothing Store","Men's Store"
"Shop & Service","Clothing Store","Shoe Store"
"Shop & Service","Clothing Store","Women's Store"
"Shop & Service","Convenience Store",empty
"Shop & Service","Cosmetics Shop",empty
"Shop & Service","Credit Union",empty
"Shop & Service",Daycare,empty
"Shop & Service","Department Store",empty
"Shop & Service","Design Studio",empty
"Shop & Service","Drugstore / Pharmacy",empty
"Shop & Service","Electronics Store",empty
"Shop & Service",empty,empty
"Shop & Service","Financial or Legal Service",empty
"Shop & Service","Flea Market",empty
"Shop & Service","Flower Shop",empty
"Shop & Service","Food & Drink Shop",Butcher
"Shop & Service","Food & Drink Shop","Cheese Shop"
"Shop & Service","Food & Drink Shop",empty
"Shop & Service","Food & Drink Shop","Farmers Market"
"Shop & Service","Food & Drink Shop","Fish Market"
"Shop & Service","Food & Drink Shop","Food Court"
"Shop & Service","Food & Drink Shop","Gourmet Shop"
"Shop & Service","Food & Drink Shop","Grocery Store"
"Shop & Service","Food & Drink Shop","Health Food Store"
"Shop & Service","Food & Drink Shop","Liquor Store"
"Shop & Service","Food & Drink Shop","Wine Shop"
"Shop & Service","Furniture / Home Store",empty
"Shop & Service","Gaming Cafe",empty
"Shop & Service","Garden Center",empty
"Shop & Service","Gas Station / Garage",empty
"Shop & Service","Gift Shop",empty
"Shop & Service","Gym / Fitness Center","Climbing Gym"
"Shop & Service","Gym / Fitness Center",empty
"Shop & Service","Gym / Fitness Center",Gym
"Shop & Service","Gym / Fitness Center","Gym Pool"
"Shop & Service","Gym / Fitness Center","Martial Arts Dojo"
"Shop & Service","Gym / Fitness Center",Track
"Shop & Service","Gym / Fitness Center","Yoga Studio"
"Shop & Service","Hardware Store",empty
"Shop & Service","Hobby Shop",empty
"Shop & Service","Hunting Supply",empty
"Shop & Service","Internet Cafe",empty
"Shop & Service","Jewelry Store",empty
"Shop & Service","Laundry Service",empty
"Shop & Service",Mall,empty
"Shop & Service",Market,empty
"Shop & Service","Miscellaneous Shop",empty
"Shop & Service","Mobile Phone Shop",empty
"Shop & Service","Motorcycle Shop",empty
"Shop & Service","Music Store",empty
"Shop & Service","Nail Salon",empty
"Shop & Service",Newsstand,empty
"Shop & Service","Paper / Office Supplies Store",empty
"Shop & Service","Pet Service",empty
"Shop & Service","Pet Store",empty
"Shop & Service","Photography Lab",empty
"Shop & Service","Real Estate Office",empty
"Shop & Service","Record Shop",empty
"Shop & Service","Recycling Facility",empty
"Shop & Service","Salon / Barbershop",empty
"Shop & Service","Smoke Shop",empty
"Shop & Service","Spa / Massage",empty
"Shop & Service","Sporting Goods Shop",empty
"Shop & Service","Storage Facility",empty
"Shop & Service","Tanning Salon",empty
"Shop & Service","Tattoo Parlor",empty
"Shop & Service","Thrift / Vintage Store",empty
"Shop & Service","Toy / Game Store",empty
"Shop & Service","Travel Agency",empty
"Shop & Service","Video Game Store",empty
"Shop & Service","Video Store",empty
"Travel & Transport",Airport,"Airport Food Court"
"Travel & Transport",Airport,"Airport Gate"
"Travel & Transport",Airport,"Airport Lounge"
"Travel & Transport",Airport,"Airport Terminal"
"Travel & Transport",Airport,"Airport Tram"
"Travel & Transport",Airport,empty
"Travel & Transport",Airport,Plane
"Travel & Transport","Bike Rental / Bike Share",empty
"Travel & Transport","Bus Station","Bus Line"
"Travel & Transport","Bus Station",empty
"Travel & Transport","Embassy / Consulate",empty
"Travel & Transport",empty,empty
"Travel & Transport",Ferry,"Boat or Ferry"
"Travel & Transport",Ferry,empty
"Travel & Transport",Ferry,Pier
"Travel & Transport","General Travel",empty
"Travel & Transport",Hotel,"Bed & Breakfast"
"Travel & Transport",Hotel,"Boarding House"
"Travel & Transport",Hotel,empty
"Travel & Transport",Hotel,Hostel
"Travel & Transport",Hotel,"Hotel Pool"
"Travel & Transport",Hotel,Motel
"Travel & Transport",Hotel,Resort
"Travel & Transport",Hotel,"Roof Deck"
"Travel & Transport","Light Rail",empty
"Travel & Transport","Moving Target",empty
"Travel & Transport","Rental Car Location",empty
"Travel & Transport","Rest Area",empty
"Travel & Transport",Road,empty
"Travel & Transport",Subway,empty
"Travel & Transport",Taxi,empty
"Travel & Transport","Tourist Information Center",empty
"Travel & Transport","Train Station",empty
"Travel & Transport","Train Station",Platform
"Travel & Transport","Train Station",Train
"Travel & Transport","Travel Lounge",empty
